mpid,category,
mp-606393,1D,
mp-556422,1D,
mp-31040,1D,
mp-570722,1D,
mp-546285,1D,
mp-570044,1D,
mp-31487,1D,
mp-753785,1D,
mp-27472,1D,
mp-23498,1D,
mp-570270,1D,
mp-541817,1D,
mp-28038,1D,
mp-540924,1D,
mp-28135,1D,
mp-28757,1D,
mp-559792,1D,
mp-864617,1D,
mp-772376,1D,
mp-705569,1D,
mp-770274,1D,
mp-555999,1D,
mp-504781,1D,
mp-28301,1D,
mp-571035,1D,
mp-557705,1D,
mp-28845,1D,
mp-561449,1D,
mp-733929,1D,
mp-540540,1D,
mp-27436,1D,
mp-862851,1D,
mp-23355,1D,
mp-30938,1D,
mp-769016,1D,
mp-22747,1D,
mp-28857,1D,
mp-505284,1D,
mp-619661,1D,
mp-655489,1D,
mp-28077,1D,
mp-22997,1D,
mp-23291,1D,
mp-19727,1D,
mp-2511,1D,
mp-571465,1D,
mp-20526,1D,
mp-21904,1D,
mp-20716,1D,
mp-20507,1D,
mp-623984,1D,
mp-568146,1D,
mp-29469,1D,
mp-649616,1D,
mp-27857,1D,
mp-569008,1D,
mp-569017,1D,
mp-4649,1D,
mp-603254,1D,
mp-862986,1D,
mp-863658,1D,
mp-863695,1D,
mp-560008,1D,
mp-567874,1D,
mp-862800,1D,
mp-28885,1D,
mp-567484,1D,
mp-669496,1D,
mp-553927,1D,
mp-27978,1D,
mp-28364,1D,
mp-756372,1D,
mp-27340,1D,
mp-573815,1D,
mp-568100,1D,
mp-641112,1D,
mp-573051,1D,
mp-622116,1D,
mp-560625,1D,
mp-558576,1D,
mp-23294,1D,
mp-570880,1D,
mp-683982,1D,
mp-555760,1D,
mp-29492,1D,
mp-15046,1D,
mp-556436,1D,
mp-758899,1D,
mp-504814,1D,
mp-2809,1D,
mp-2160,1D,
mp-554764,1D,
mp-759602,1D,
mp-621960,1D,
mp-638022,1D,
mp-29573,1D,
mp-757173,1D,
mp-753233,1D,
mp-27907,1D,
mp-27317,1D,
mp-27308,1D,
mp-556425,1D,
mp-23536,1D,
mp-567264,1D,
mp-7609,1D,
mp-758096,1D,
mp-572597,1D,
mp-22971,1D,
mp-22996,1D,
mp-23041,1D,
mp-769377,1D,
mp-28051,1D,
mp-554896,1D,
mp-572284,1D,
mp-22600,1D,
mp-541102,1D,
mp-504921,1D,
mp-28321,1D,
mp-541175,1D,
mp-29579,1D,
mp-24215,1D,
mp-24741,1D,
mp-14,1D,
mp-27358,1D,
mp-861891,1D,
mp-861871,1D,
mp-726,1D,
mp-504564,1D,
mp-29174,1D,
mp-703531,1D,
mp-1602,1D,
mp-568264,1D,
mp-867875,1D,
mp-867893,1D,
mp-542769,1D,
mp-27480,1D,
mp-1509,1D,
mp-17835,1D,
mp-753246,1D,
mp-684021,1D,
mp-674324,1D,
mp-29862,1D,
mp-569152,1D,
mp-27373,1D,
mp-643902,1D,
mp-571146,1D,
mp-3245,1D,
mp-13923,1D,
mp-8781,1D,
mp-645740,1D,
mp-561397,1D,
mp-28683,1D,
mp-541094,1D,
mp-28964,1D,
mp-28509,1D,
mp-680836,1D,
mp-29465,1D,
mp-557163,1D,
mp-12027,1D,
mp-29844,1D,
mp-867247,1D,
mp-867231,1D,
mp-867360,1D,
mp-570480,1D,
mp-27780,1D,
mp-867369,1D,
mp-28804,1D,
mp-555059,1D,
mp-19,1D,
mp-27648,1D,
mp-27655,1D,
mp-484,1D,
mp-27628,1D,
mp-566902,1D,
mp-29190,1D,
mp-29251,1D,
mp-541032,1D,
mp-867355,1D,
mp-561664,1D,
mp-759866,1D,
mp-569766,1D,
mp-862773,1D,
mp-29178,1D,
mp-14249,1D,
mp-541826,1D,
mp-570951,1D,
mp-16977,1D,
mp-582657,1D,
mp-571143,1D,
mp-28974,1D,
mp-574169,1D,
mp-23264,1D,
mp-541013,1D,
mp-570443,1D,
mp-685385,1D,
mp-28954,1D,
mp-543028,1D,
mp-686102,1D,
mp-675519,1D,
mp-614491,1D,
mp-32479,1D,
mp-23408,1D,
mp-27684,1D,
mp-720,1D,
mp-9580,1D,
mp-3785,1D,
mp-22232,1D,
mp-322,1D,
mp-567318,1D,
mp-865301,1D,
mp-865353,1D,
mp-20326,1D,
mp-768283,1D,
mp-1852,1D,
mp-23244,1D,
mp-655360,1D,
mp-703352,1D,
mp-561241,1D,
mp-866812,1D,
mp-542131,1D,
mp-560464,1D,
mp-765500,1D,
mp-648414,1D,
mp-28256,1D,
mp-770164,1D,
mp-764115,1D,
mp-865473,1D,
mp-765216,1D,
mp-558797,1D,
mp-865493,1D,
mp-764232,1D,
mp-764274,1D,
mp-8251,1D,
mp-541155,1D,
mp-19243,1D,
mp-768093,1D,
mp-570568,1D,
mp-765097,1D,
mp-565978,1D,
mp-32535,1D,
mp-765135,1D,
mp-570857,1D,
mp-9847,1D,
mp-865605,1D,
mp-625272,1D,
mp-695793,1D,
mp-24714,1D,
mp-757256,1D,
mp-632706,1D,
mp-766269,1D,
mp-8203,1D,
mp-23247,1D,
mp-22871,1D,
mp-569175,1D,
mp-720299,1D,
mp-570188,1D,
mp-571235,1D,
mp-541593,1D,
mp-20244,1D,
mp-29018,1D,
mp-17324,1D,
mp-667327,Heterostructure,
mp-559470,Heterostructure,
mp-626094,Heterostructure,
mp-778080,Heterostructure,
mp-569044,Heterostructure,
mp-23435,Heterostructure,
mp-542615,Heterostructure,
mp-27607,Heterostructure,
mp-28229,Heterostructure,
mp-23005,Heterostructure,
mp-680214,Heterostructure,
mp-580062,Heterostructure,
mp-753673,Heterostructure,
mp-27902,Heterostructure,
mp-23224,Heterostructure,
mp-558759,Heterostructure,
mp-771662,Heterostructure,
mp-773511,Heterostructure,
mp-761557,Heterostructure,
mp-773306,Heterostructure,
mp-557359,Heterostructure,
mp-684621,Heterostructure,
mp-685158,Heterostructure,
mp-680461,Heterostructure,
mp-680135,Heterostructure,
mp-23116,Heterostructure,
mp-771994,Heterostructure,
mp-771048,Heterostructure,
mp-3534,Heterostructure,
mp-540687,Heterostructure,
mp-29644,Heterostructure,
mp-29641,Heterostructure,
mp-8645,Heterostructure,
mp-542596,Heterostructure,
mp-636654,Heterostructure,
mp-7060,Heterostructure,
mp-30245,Heterostructure,
mp-697921,Heterostructure,
mp-771458,Heterostructure,
mp-773237,Heterostructure,
mp-773300,Heterostructure,
mp-773303,Heterostructure,
mp-767122,Heterostructure,
mp-771938,Heterostructure,
mp-768069,Heterostructure,
mp-771464,Heterostructure,
mp-675380,Heterostructure,
mp-674499,Heterostructure,
mp-674017,Heterostructure,
mp-645592,Heterostructure,
mp-676275,Heterostructure,
mp-675152,Heterostructure,
mp-640862,Heterostructure,
mp-6997,Heterostructure,
mp-12826,Heterostructure,
mp-7716,Heterostructure,
mp-685209,Heterostructure,
mp-557438,Heterostructure,
mp-20815,Heterostructure,
mp-541180,Heterostructure,
mp-8628,Heterostructure,
mp-622198,Heterostructure,
mp-771460,Heterostructure,
mp-773280,Heterostructure,
mp-550469,Heterostructure,
mp-675275,Heterostructure,
mp-779199,Heterostructure,
mp-550306,Heterostructure,
mp-21409,Heterostructure,
mp-541732,Heterostructure,
mp-9579,Heterostructure,
mp-680181,Heterostructure,
mp-30097,Heterostructure,
mp-867730,Heterostructure,
mp-8759,Heterostructure,
mp-541385,Heterostructure,
mp-556117,Heterostructure,
mp-20408,Heterostructure,
mp-20320,Heterostructure,
mp-638590,Heterostructure,
mp-756372,Heterostructure,
mp-621960,Heterostructure,
mp-638022,Heterostructure,
mp-753233,Heterostructure,
mp-27907,Heterostructure,
mp-684021,Heterostructure,
mp-566902,Heterostructure,
mp-541032,Heterostructure,
mp-570443,Heterostructure,
mp-685385,Heterostructure,
mp-686102,Heterostructure,
mp-675519,Heterostructure,
mp-9580,Heterostructure,
mp-3785,Heterostructure,
mp-22232,Heterostructure,
mp-322,Heterostructure,
mp-542131,Heterostructure,
