mpid,category,
mp-8211,2D,
mp-643759,2D,
mp-867675,2D,
mp-30979,2D,
mp-2507,2D,
mp-1943,2D,
mp-542812,2D,
mp-27449,2D,
mp-618813,2D,
mp-29394,2D,
mp-865078,2D,
mp-27182,2D,
mp-29797,2D,
mp-28755,2D,
mp-559733,2D,
mp-754149,2D,
mp-556135,2D,
mp-27948,2D,
mp-560370,2D,
mp-14790,2D,
mp-3534,2D,
mp-14791,2D,
mp-540687,2D,
mp-541312,2D,
mp-29218,2D,
mp-17708,2D,
mp-680333,2D,
mp-568730,2D,
mp-28487,2D,
mp-27342,2D,
mp-9548,2D,
mp-17524,2D,
mp-29249,2D,
mp-29644,2D,
mp-624190,2D,
mp-2242,2D,
mp-572892,2D,
mp-29641,2D,
mp-700,2D,
mp-540625,2D,
mp-938,2D,
mp-8645,2D,
mp-32543,2D,
mp-687090,2D,
mp-28919,2D,
mp-568346,2D,
mp-28220,2D,
mp-567817,2D,
mp-567441,2D,
mp-541911,2D,
mp-9922,2D,
mp-15622,2D,
mp-13962,2D,
mp-13963,2D,
mp-776083,2D,
mp-32887,2D,
mp-1168,2D,
mp-554921,2D,
mp-761037,2D,
mp-542596,2D,
mp-28874,2D,
mp-29679,2D,
mp-555074,2D,
mp-559355,2D,
mp-567949,2D,
mp-570084,2D,
mp-554950,2D,
mp-558456,2D,
mp-29097,2D,
mp-29102,2D,
mp-571558,2D,
mp-706,2D,
mp-23192,2D,
mp-557250,2D,
mp-546862,2D,
mp-27178,2D,
mp-7293,2D,
mp-559509,2D,
mp-556903,2D,
mp-1640,2D,
mp-5572,2D,
mp-755565,2D,
mp-753173,2D,
mp-23261,2D,
mp-23559,2D,
mp-27753,2D,
mp-686581,2D,
mp-556231,2D,
mp-560314,2D,
mp-582549,2D,
mp-676518,2D,
mp-541885,2D,
mp-27195,2D,
mp-22661,2D,
mp-20902,2D,
mp-23313,2D,
mp-571169,2D,
mp-570219,2D,
mp-27703,2D,
mp-27702,2D,
mp-22449,2D,
mp-19885,2D,
mp-733932,2D,
mp-606312,2D,
mp-559864,2D,
mp-556541,2D,
mp-570321,2D,
mp-22691,2D,
mp-567931,2D,
mp-29236,2D,
mp-504630,2D,
mp-557992,2D,
mp-29234,2D,
mp-510727,2D,
mp-23315,2D,
mp-27397,2D,
mp-27666,2D,
mp-540584,2D,
mp-769262,2D,
mp-3982,2D,
mp-557183,2D,
mp-753380,2D,
mp-31321,2D,
mp-772193,2D,
mp-753524,2D,
mp-28571,2D,
mp-570597,2D,
mp-30282,2D,
mp-570988,2D,
mp-571647,2D,
mp-559088,2D,
mp-543029,2D,
mp-569873,2D,
mp-569637,2D,
mp-29070,2D,
mp-27679,2D,
mp-28572,2D,
mp-23023,2D,
mp-568574,2D,
mp-696944,2D,
mp-23194,2D,
mp-27979,2D,
mp-30993,2D,
mp-756578,2D,
mp-684706,2D,
mp-697701,2D,
mp-680334,2D,
mp-4034,2D,
mp-636654,2D,
mp-565839,2D,
mp-7060,2D,
mp-762388,2D,
mp-761662,2D,
mp-675589,2D,
mp-19308,2D,
mp-28628,2D,
mp-27417,2D,
mp-780226,2D,
mp-779850,2D,
mp-850116,2D,
mp-22716,2D,
mp-684059,2D,
mp-781622,2D,
mp-573376,2D,
mp-557829,2D,
mp-23896,2D,
mp-30287,2D,
mp-27246,2D,
mp-16755,2D,
mp-9479,2D,
mp-30247,2D,
mp-770718,2D,
mp-754311,2D,
mp-30244,2D,
mp-770063,2D,
mp-721158,2D,
mp-867724,2D,
mp-12693,2D,
mp-755856,2D,
mp-30243,2D,
mp-30245,2D,
mp-697180,2D,
mp-30739,2D,
mp-766572,2D,
mp-24097,2D,
mp-696497,2D,
mp-30242,2D,
mp-30241,2D,
mp-697921,2D,
mp-570849,2D,
mp-554686,2D,
mp-30034,2D,
mp-23210,2D,
mp-754645,2D,
mp-698365,2D,
mp-864887,2D,
mp-556127,2D,
mp-23734,2D,
mp-768036,2D,
mp-763057,2D,
mp-25546,2D,
mp-771591,2D,
mp-850470,2D,
mp-627380,2D,
mp-761501,2D,
mp-767158,2D,
mp-765268,2D,
mp-775033,2D,
mp-25569,2D,
mp-764303,2D,
mp-770535,2D,
mp-743571,2D,
mp-706469,2D,
mp-697730,2D,
mp-773614,2D,
mp-772359,2D,
mp-773365,2D,
mp-771841,2D,
mp-765332,2D,
mp-763854,2D,
mp-776354,2D,
mp-774019,2D,
mp-771844,2D,
mp-776755,2D,
mp-771458,2D,
mp-773237,2D,
mp-773300,2D,
mp-773303,2D,
mp-766870,2D,
mp-767122,2D,
mp-771938,2D,
mp-557805,2D,
mp-558130,2D,
mp-28306,2D,
mp-28233,2D,
mp-768069,2D,
mp-771464,2D,
mp-771797,2D,
mp-769958,2D,
mp-767862,2D,
mp-765939,2D,
mp-765921,2D,
mp-635322,2D,
mp-765484,2D,
mp-28013,2D,
mp-34134,2D,
mp-764258,2D,
mp-745106,2D,
mp-769839,2D,
mp-571193,2D,
mp-743541,2D,
mp-8613,2D,
mp-8695,2D,
mp-555052,2D,
mp-771676,2D,
mp-554061,2D,
mp-555844,2D,
mp-567478,2D,
mp-570268,2D,
mp-604910,2D,
mp-19090,2D,
mp-773462,2D,
mp-504210,2D,
mp-626138,2D,
mp-28037,2D,
mp-640818,2D,
mp-505127,2D,
mp-29555,2D,
mp-620029,2D,
mp-22853,2D,
mp-510584,2D,
mp-697734,2D,
mp-504818,2D,
mp-1434,2D,
mp-1634,2D,
mp-559923,2D,
mp-27362,2D,
mp-541667,2D,
mp-27361,2D,
mp-675380,2D,
mp-674499,2D,
mp-674017,2D,
mp-554930,2D,
mp-4384,2D,
mp-29073,2D,
mp-648932,2D,
mp-29072,2D,
mp-28745,2D,
mp-645592,2D,
mp-27771,2D,
mp-27880,2D,
mp-29950,2D,
mp-28754,2D,
mp-27772,2D,
mp-675367,2D,
mp-675066,2D,
mp-29057,2D,
mp-541158,2D,
mp-505137,2D,
mp-28938,2D,
mp-29689,2D,
mp-624253,2D,
mp-675326,2D,
mp-675290,2D,
mp-550070,2D,
mp-571471,2D,
mp-28019,2D,
mp-1416,2D,
mp-616481,2D,
mp-549720,2D,
mp-557685,2D,
mp-20506,2D,
mp-8999,2D,
mp-753800,2D,
mp-10033,2D,
mp-562100,2D,
mp-2207,2D,
mp-525,2D,
mp-11675,2D,
mp-505088,2D,
mp-505164,2D,
mp-28616,2D,
mp-776661,2D,
mp-31320,2D,
mp-864790,2D,
mp-24445,2D,
mp-676275,2D,
mp-565363,2D,
mp-1119,2D,
mp-27975,2D,
mp-23068,2D,
mp-698317,2D,
mp-28753,2D,
mp-755336,2D,
mp-675342,2D,
mp-676572,2D,
mp-674506,2D,
mp-675152,2D,
mp-4437,2D,
mp-740,2D,
mp-540966,2D,
mp-32403,2D,
mp-779904,2D,
mp-769218,2D,
mp-3250,2D,
mp-704879,2D,
mp-565798,2D,
mp-27637,2D,
mp-27396,2D,
mp-743693,2D,
mp-27638,2D,
mp-35925,2D,
mp-542954,2D,
mp-769108,2D,
mp-676040,2D,
mp-571033,2D,
mp-10264,2D,
mp-2578,2D,
mp-774160,2D,
mp-27986,2D,
mp-567519,2D,
mp-14107,2D,
mp-556939,2D,
mp-864899,2D,
mp-29133,2D,
mp-2173,2D,
mp-542152,2D,
mp-31069,2D,
mp-3006,2D,
mp-687234,2D,
mp-27173,2D,
mp-761353,2D,
mp-761371,2D,
mp-777230,2D,
mp-608461,2D,
mp-862853,2D,
mp-21497,2D,
mp-510293,2D,
mp-559143,2D,
mp-619032,2D,
mp-341,2D,
mp-22883,2D,
mp-19921,2D,
mp-557719,2D,
mp-22009,2D,
mp-630329,2D,
mp-22342,2D,
mp-567437,2D,
mp-27747,2D,
mp-13682,2D,
mp-2418,2D,
mp-545482,2D,
mp-20316,2D,
mp-7280,2D,
mp-3123,2D,
mp-567763,2D,
mp-754632,2D,
mp-23169,2D,
mp-22854,2D,
mp-570498,2D,
mp-756702,2D,
mp-733581,2D,
mp-29254,2D,
mp-30125,2D,
mp-12351,2D,
mp-28319,2D,
mp-7868,2D,
mp-762,2D,
mp-1115,2D,
mp-680500,2D,
mp-27974,2D,
mp-8033,2D,
mp-24478,2D,
mp-7467,2D,
mp-23472,2D,
mp-32311,2D,
mp-29305,2D,
mp-580748,2D,
mp-29499,2D,
mp-23174,2D,
mp-27267,2D,
mp-572758,2D,
mp-541582,2D,
mp-676712,2D,
mp-27871,2D,
mp-27770,2D,
mp-29132,2D,
mp-570997,2D,
mp-649601,2D,
mp-30984,2D,
mp-104,2D,
mp-684426,2D,
mp-684537,2D,
mp-640862,2D,
mp-30109,2D,
mp-27256,2D,
mp-28711,2D,
mp-6997,2D,
mp-3525,2D,
mp-1201,2D,
mp-31507,2D,
mp-8612,2D,
mp-541240,2D,
mp-27700,2D,
mp-772282,2D,
mp-753445,2D,
mp-759743,2D,
